allocation,training_provider_code,accredited_body_provider_code
4,2AT,2AT
1,24R,24R
10,24L,24L
3,25F,25F
8,28E,28E
4,2AX,2AX
28,B20,B20
9,B25,B25
4,B38,B38
1,26T,26T
1,B52,B52
9,B84,B84
2,2AV,2AV
13,C10,C10
2,C23,C23
7,1X7,1X7
3,1MS,1MS
7,C79,C79
3,D51,D51
1,E31,E31
37,E42,E42
14,E65,E65
2,E69,E69
7,E75,E75
1,G12,G12
2,1HR,1HR
2,G48,G48
13,1N1,1N1
2,H17,H17
2,2B3,2B3
8,24X,24X
11,K84,K84
2,1WK,1WK
1,186,186
26,L27,L27
5,L26,L26
3,L33,L33
9,L51,L51
48,L79,L79
20,M40,M40
1,2EU,2EU
3,M82,M82
1,M84,M84
9,251,251
15,N36,N36
1,N43,N43
34,N55,N55
1,N66,N66
2,25K,25K
7,24U,24U
1,N42,N42
2,2B1,2B1
3,P38,P38
2,2ET,2ET
3,2B9,2B9
7,R48,R48
1,2BA,2BA
2,P57,P57
23,S21,S21
2,S66,S66
26,S64,S64
2,G15,G15
15,S72,S72
1,S60,S60
3,25D,25D
3,1ZW,1ZW
2,T11,T11
1,2EZ,2EZ
11,2EW,2EW
1,T26,T26
2,B17,B17
4,B71,B71
2,C03,C03
2,C36,C36
6,1X9,1X9
2,24V,24V
1,L19,L19
1,2AZ,2AZ
3,T29,T29
2,T30,T30
1,K13,K13
1,T87,T87
23,B22,B22
24,B32,B32
8,C55,C55
34,C58,C58
19,D86,D86
14,E14,E14
17,E28,E28
48,E84,E84
7,G50,G50
20,G70,G70
4,H60,H60
7,R12,R12
20,P63,P63
3,B80,B80
8,W20,W20
13,W75,W75
31,W80,W80
2,W34,W34
17,W53,W53
3,2B2,2B2
1,1JV,M80
1,2FR,M80
2,2KH,Y75
2,2JJ,Y75
1,196,Y75
1,196,S21
1,3K9,Y75
3,1DH,Y75
3,2KA,L51
3,1M1,L51
4,26L,L51
2,1DO,L51
8,2BS,L51
4,21D,L51
3,1VU,S21
3,1ED,S21
1,1ED,D39
4,1DU,S21
7,1GV,S21
4,1X5,S21
9,1N5,S21
1,1GW,S21
1,1GW,B38
2,161,S21
1,1GX,S21
3,2BU,W20
2,1XO,W20
3,1K2,W20
3,1K2,B25
2,179,W20
1,17B,W20
1,17B,D39
1,1K1,W20
2,1K1,B25
1,2KZ,W20
1,2KZ,B25
2,241,W20
1,1GH,W20
1,2KR,W20
2,2KR,N36
2,2KR,W80
1,13A,W20
1,13A,B25
1,17Y,W20
1,2EB,W20
1,2EB,W80
1,1R3,W20
2,1R3,L79
2,1R3,L33
1,21T,W20
1,21T,W80
2,1XN,1CS
2,26A,B25
1,139,B25
2,2J9,B25
1,1KB,L79
1,1L8,L79
2,1L8,D39
1,12K,L79
1,12K,N91
1,195,D39
1,1JA,D39
1,1JA,24P
1,155,D39
1,1L7,D39
1,1F2,T30
6,2KM,28E
4,2JH,28E
2,16Z,P63
1,2HG,P63
1,1AS,W76
1,1A8,W76
1,27L,W76
1,2DC,W76
3,1G3,W76
3,135,W76
1,1MU,L27
2,1MU,259
1,2FW,L27
2,2FW,H60
6,2JN,L27
6,15X,L27
2,2HT,L27
2,2BP,259
1,1KU,2EZ
2,14K,S72
2,1PE,C58
2,1DP,C58
1,1DP,S64
1,2DH,C58
1,1BK,C58
4,1E5,2B5
1,265,2B5
1,18C,C99
2,1NN,C99
1,1L2,C99
1,1FS,C99
4,1HZ,C99
1,2A1,C99
2,136,C99
1,18U,24P
2,1UV,24P
1,1WB,24P
1,1YR,M40
2,1JR,M40
1,274,M40
1,1PN,M40
1,2CM,M40
1,1HJ,M40
2,13V,S64
2,2HZ,S64
1,2BV,S64
1,181,S64
4,181,K84
1,2BD,S64
1,2BD,E28
1,2BD,R48
1,134,S64
1,15O,S64
2,15O,E69
2,1KV,S64
1,1ZO,S64
1,1FP,S64
2,1JD,1WO
1,1LK,1WO
2,1FL,1WO
2,25X,2AV
2,1V7,2B2
2,19C,C10
1,1CU,C10
2,2DG,C10
1,1FO,C10
1,1FN,C10
1,2K5,C10
2,1NK,C10
2,14H,C10
2,1MT,R12
1,1UH,R12
1,1LJ,R12
1,2J8,R12
2,286,R12
1,1Y1,R12
3,2FZ,R12
3,152,R12
1,26Q,R12
1,1RM,R12
1,17T,R12
1,2GY,E28
1,1OM,E28
1,1AK,E28
1,198,2BA
1,1KL,2BA
1,1KL,C23
1,2AJ,H60
1,1JJ,H60
1,1YF,H60
2,29R,B22
2,2KL,B22
1,1XY,B22
2,1R7,B22
3,2FS,S84
2,1D7,S84
1,1F1,N91
1,1F1,E31
3,1YD,N91
1,1YD,B38
3,1EC,N91
1,1YS,H72
3,ST8,H72
2,1FE,H72
2,2GU,S14
1,1GN,S14
1,1GN,E14
1,1GT,S14
2,18Z,S14
1,18Z,E14
1,2TC,S14
2,2G5,K13
2,2KU,C03
1,17X,C97
6,2DB,C76
1,1FM,R48
1,1BW,R48
2,1J1,R48
1,29N,K30
1,1GR,K30
1,295,K30
1,24Q,K30
2,2AG,K30
3,1OS,H40
2,26J,H40
2,1CN,H40
1,1JH,H40
2,1XB,H40
1,1CD,25F
1,1EP,L24
1,1ZX,L24
1,2FX,H36
1,1QY,H36
1,154,H36
2,1D5,H36
2,2C8,H36
2,1HS,H36
3,12L,H36
1,2GH,2AZ
1,1OV,G12
9,1FW,K84
3,1VT,H36
1,2GO,W75
1,1VG,W75
2,1O7,W75
1,2G3,D51
1,1GP,E14
1,2D5,E14
1,1ZN,E14
1,1ZN,S14
2,2JK,E84
2,16U,E84
1,1AN,E84
1,172,E84
1,1TK,E84
1,17H,E84
1,1ES,H72
1,1ES,B38
1,1NZ,1WK
3,1ER,1WK
1,1S9,N36
1,142,N36
2,1RH,N36
1,2KK,B38
2,2K7,E31
2,219,E31
2,1L6,24V
2,1E2,24V
1,2FY,B20
1,2BO,B20
2,13E,26T
2,235,P57
1,21F,P57
1,26P,G48
1,1ZB,G48
1,2EH,G48
1,28K,E42
1,1TR,C55
1,1KT,C55
1,1JS,C55
1,1Q6,C55
2,1KQ,C55
1,1PC,C55
1,12U,C79
1,19U,C79
2,1KM,E75
1,2G1,E75
3,2FD,D86
1,1S2,K51
1,1FA,W80
2,19S,W80
2,22V,W80
1,1NG,C10
2,1MN,1MN
1,18K,2A7
2,1AV,S61
1,2CX,1X7
1,1PJ,G60
3,1XC,2B1
3,1EJ,2B1
1,1BM,C23
1,2L1,N32
1,1QB,D87
1,23F,D87
2,G15,G15
1,1FU,L46
1,1W4,C23
1,1O2,J80
1,1RU,25O
7,1KY,2EW
1,1ZM,B52
2,1QN,A67
2,171,S90
1,236,O66
1,18M,M84
2,2A5,2A5
2,1DX,K30
2,185,G70
2,16P,1X9
2,1EB,254
1,23R,1WM
